# Time-averaged data for fix 3
# TimeStep c_myRg
40000 6.67219
40100 6.6724
40200 6.6726
40300 6.67281
40400 6.67298
40500 6.67315
40600 6.67332
40700 6.67351
40800 6.67371
40900 6.67393
41000 6.67416
41100 6.6744
41200 6.67463
41300 6.67487
41400 6.67512
41500 6.67538
41600 6.67563
41700 6.67584
41800 6.67606
41900 6.67631
42000 6.67659
42100 6.67686
42200 6.67715
42300 6.67743
42400 6.67773
42500 6.67804
42600 6.67837
42700 6.67873
42800 6.67908
42900 6.67945
43000 6.6798
43100 6.68016
43200 6.68053
43300 6.6809
43400 6.68128
43500 6.68166
43600 6.68204
43700 6.6824
43800 6.68276
43900 6.68308
44000 6.68338
44100 6.68366
44200 6.68392
44300 6.68418
44400 6.68443
44500 6.68468
44600 6.68493
44700 6.68518
44800 6.68543
44900 6.68568
45000 6.68592
45100 6.68616
45200 6.68642
45300 6.6867
45400 6.68696
45500 6.68721
45600 6.68744
45700 6.68764
45800 6.68781
45900 6.68795
46000 6.6881
46100 6.68823
46200 6.68837
46300 6.6885
46400 6.68862
46500 6.68875
46600 6.6889
46700 6.68905
46800 6.6892
46900 6.6893
47000 6.68937
47100 6.68944
47200 6.68951
47300 6.68957
47400 6.68965
47500 6.68975
47600 6.68987
47700 6.68997
47800 6.69006
47900 6.69014
48000 6.69023
48100 6.69031
48200 6.69039
48300 6.69044
48400 6.69047
48500 6.69053
48600 6.69058
48700 6.69061
48800 6.69062
48900 6.69065
49000 6.69072
49100 6.69078
49200 6.69081
49300 6.69084
49400 6.69087
49500 6.69091
49600 6.69094
49700 6.69095
49800 6.69093
49900 6.69092
50000 6.69094
50100 6.691
50200 6.69113
50300 6.69128
50400 6.69147
50500 6.6917
50600 6.69194
50700 6.69217
50800 6.6924
50900 6.69264
51000 6.69291
51100 6.69316
51200 6.69342
51300 6.6937
51400 6.69401
51500 6.69433
51600 6.69468
51700 6.69502
51800 6.69535
51900 6.69568
52000 6.69596
52100 6.69624
52200 6.69652
52300 6.69683
52400 6.69717
52500 6.69751
52600 6.69788
52700 6.69824
52800 6.69861
52900 6.69897
53000 6.6993
53100 6.69961
53200 6.69992
53300 6.70021
53400 6.70051
53500 6.70081
53600 6.70113
53700 6.70146
53800 6.70181
53900 6.7022
54000 6.7026
54100 6.70301
54200 6.70343
54300 6.70384
54400 6.70423
54500 6.7046
54600 6.70498
54700 6.70536
54800 6.70572
54900 6.70607
55000 6.70642
55100 6.70675
55200 6.70708
55300 6.70739
55400 6.70769
55500 6.70797
55600 6.70824
55700 6.7085
55800 6.70875
55900 6.70899
56000 6.7092
56100 6.7094
56200 6.70958
56300 6.70975
56400 6.70992
56500 6.71008
56600 6.71025
56700 6.71042
56800 6.71058
56900 6.71073
57000 6.71084
57100 6.71096
57200 6.71109
57300 6.71119
57400 6.71129
57500 6.7114
57600 6.71151
57700 6.71161
57800 6.71173
57900 6.71185
58000 6.71198
58100 6.7121
58200 6.7122
58300 6.71233
58400 6.71246
58500 6.71258
58600 6.71271
58700 6.71283
58800 6.71293
58900 6.71303
59000 6.71316
59100 6.71332
59200 6.71346
59300 6.71359
59400 6.71369
59500 6.71379
59600 6.71393
59700 6.71408
59800 6.71421
59900 6.71433
60000 6.71447
60100 6.71464
60200 6.71483
60300 6.71499
60400 6.71519
60500 6.71539
60600 6.71557
60700 6.71571
60800 6.71585
60900 6.716
61000 6.71614
61100 6.71629
61200 6.71647
61300 6.71664
61400 6.7168
61500 6.71693
61600 6.71705
61700 6.71717
61800 6.71728
61900 6.71737
62000 6.71744
62100 6.71752
62200 6.7176
62300 6.71764
62400 6.71766
62500 6.7177
62600 6.71776
62700 6.71781
62800 6.71783
62900 6.71785
63000 6.71786
63100 6.71785
63200 6.71787
63300 6.71788
63400 6.7179
63500 6.71792
63600 6.71794
63700 6.71798
63800 6.71801
63900 6.71805
64000 6.71809
64100 6.71816
64200 6.71824
64300 6.71833
64400 6.7184
64500 6.71848
64600 6.71856
64700 6.71863
64800 6.7187
64900 6.7188
65000 6.71892
65100 6.71906
65200 6.7192
65300 6.71934
65400 6.71947
65500 6.71959
65600 6.71972
65700 6.71983
65800 6.71995
65900 6.72008
66000 6.72022
66100 6.72034
66200 6.72047
66300 6.72062
66400 6.72079
66500 6.72095
66600 6.72111
66700 6.72125
66800 6.72138
66900 6.72152
67000 6.72165
67100 6.7218
67200 6.72198
67300 6.72216
67400 6.72233
67500 6.72249
67600 6.72263
67700 6.72277
67800 6.72291
67900 6.72308
68000 6.72327
68100 6.72346
68200 6.72368
68300 6.72393
68400 6.72415
68500 6.72439
68600 6.72459
68700 6.72477
68800 6.72496
68900 6.72513
69000 6.7253
69100 6.72547
69200 6.72561
69300 6.72577
69400 6.72592
69500 6.72607
69600 6.7262
69700 6.72633
69800 6.72648
69900 6.72663
70000 6.72681
70100 6.72698
70200 6.72715
70300 6.72732
70400 6.72746
70500 6.72761
70600 6.72775
70700 6.72786
70800 6.72797
70900 6.72809
71000 6.72821
71100 6.72836
71200 6.72851
71300 6.72871
71400 6.72888
71500 6.72907
71600 6.72922
71700 6.7294
71800 6.72958
71900 6.72974
72000 6.72989
72100 6.73005
72200 6.73024
72300 6.73039
72400 6.73053
72500 6.73069
72600 6.73087
72700 6.73107
72800 6.73128
72900 6.7315
73000 6.73169
73100 6.73188
73200 6.73209
73300 6.73228
73400 6.73244
73500 6.73264
73600 6.73282
73700 6.73298
73800 6.73312
73900 6.73324
74000 6.73338
74100 6.73351
74200 6.73364
74300 6.73374
74400 6.73385
74500 6.73394
74600 6.73402
74700 6.7341
74800 6.73417
74900 6.73423
75000 6.73425
75100 6.73427
75200 6.7343
75300 6.73433
75400 6.73436
75500 6.73438
75600 6.73441
75700 6.73447
75800 6.73453
75900 6.7346
76000 6.73467
